method,seed,step,mean_return,std_return,min_return,max_return,n_eval_episodes,J0,improvement,norm_improvement,J_ref
snp,1,352256,1353.8892080863661,849.7648469708611,286.589172300668,2848.3393304700016,10,1982.6582280155012,-628.7690199291351,-0.07249974781552374,10655.36453116767
snp,1,376832,1384.3763883117815,838.5191160541136,332.1886693841297,2792.993831233546,10,1982.6582280155012,-598.2818397037197,-0.0689844459989709,10655.36453116767
snp,1,401408,1691.6905953586697,895.1497523659933,690.0133306058117,3667.094731131061,10,1982.6582280155012,-290.9676326568315,-0.03354980815129494,10655.36453116767
snp,1,425984,1379.2951436479464,706.6426211534302,658.6034659848644,2974.975383073782,10,1982.6582280155012,-603.3630843675548,-0.06957033516500923,10655.36453116767
snp,1,450560,1163.7058572653648,630.8138655073066,369.776502523532,2447.3461454782864,10,1982.6582280155012,-818.9523707501364,-0.09442869872787604,10655.36453116767
snp,1,475136,2021.4983406338324,1538.53497241845,378.0615298371879,4550.472536496483,10,1982.6582280155012,38.840112618331204,0.004478430521708778,10655.36453116767
snp,1,499712,1449.1723381722397,713.7480105167562,612.4416277367578,2720.9196868013437,10,1982.6582280155012,-533.4858898432615,-0.06151319681929599,10655.36453116767
snp,2,0,4054.665155324584,1630.261046924272,722.7769965132285,5904.431561660946,10,4054.665155324584,0.0,0.0,10655.36453116767
snp,2,32768,1644.5724240570144,1396.3613073491683,283.80308974543664,3902.3968687882193,10,4054.665155324584,-2410.0927312675694,-0.365126874240445,10655.36453116767
snp,2,57344,1886.3895578701067,1638.6154480550706,369.9266613615775,4735.998385263963,10,4054.665155324584,-2168.275597454477,-0.32849179665132655,10655.36453116767
snp,2,81920,1527.5503353680922,786.5762305220834,471.9819133471161,2799.5502585014037,10,4054.665155324584,-2527.1148199564914,-0.3828556150916743,10655.36453116767
snp,2,106496,1523.9910548945077,1042.0681464182414,489.67273287328294,3492.6213097138652,10,4054.665155324584,-2530.674100430076,-0.38339484287200193,10655.36453116767
snp,2,131072,1459.4787277052349,750.4492510538872,491.86475206739186,2728.1960235710135,10,4054.665155324584,-2595.186427619349,-0.39316840223384747,10655.36453116767
snp,2,155648,1383.6708491801908,317.11434108118436,877.496618477377,1984.6164578052287,10,4054.665155324584,-2670.994306144393,-0.40465322743146165,10655.36453116767
snp,2,180224,1444.307660588945,634.2103546827211,683.5921819414128,3006.9870652365767,10,4054.665155324584,-2610.3574947356387,-0.3954668052136156,10655.36453116767
snp,2,204800,1660.3953020143294,716.235083513365,667.0853705923809,3081.8012152848546,10,4054.665155324584,-2394.2698533102543,-0.3627297225063688,10655.36453116767
snp,2,229376,1856.2221240975255,1012.2129618895897,652.9270424632642,3615.3262216382477,10,4054.665155324584,-2198.4430312270583,-0.3330621356487995,10655.36453116767
snp,2,253952,1704.7575509178182,644.7419481225403,576.7603160092601,3057.7348228261003,10,4054.665155324584,-2349.9076044067656,-0.3560088818240734,10655.36453116767
snp,2,278528,2209.908803667756,780.7901494431868,983.2133489948113,3649.065163221426,10,4054.665155324584,-1844.756351656828,-0.27947892281364867,10655.36453116767
snp,2,303104,2336.484908051844,930.4859874436936,1232.0713836306152,3885.2844953495096,10,4054.665155324584,-1718.18024727274,-0.2603027572048726,10655.36453116767
snp,2,327680,1677.9955407953755,968.2769260735919,492.535292330648,3898.5349451670104,10,4054.665155324584,-2376.669614529208,-0.36006330221115096,10655.36453116767
snp,2,352256,1861.881789760547,872.90935034357,732.7836760590387,3423.5000691059204,10,4054.665155324584,-2192.783365564037,-0.33220470140738,10655.36453116767
snp,2,376832,2063.2481584869747,919.6630999770687,1144.9623890360024,3887.221417338475,10,4054.665155324584,-1991.416996837609,-0.30169787823150995,10655.36453116767
snp,2,401408,2546.4473223060427,1461.27669641917,716.2115659600772,5217.438526488365,10,4054.665155324584,-1508.2178330185411,-0.22849364088747148,10655.36453116767
snp,2,425984,1753.754191015291,863.1563865473952,881.81567471288,3085.153474864231,10,4054.665155324584,-2300.9109643092925,-0.34858593505734664,10655.36453116767
snp,2,450560,2507.0329922647156,1654.0494145948078,456.4636350262824,6046.345775472427,10,4054.665155324584,-1547.6321630598682,-0.23446487632649216,10655.36453116767
snp,2,475136,2521.8953174157473,1471.3988203566157,1121.3053587715217,5552.826274221858,10,4054.665155324584,-1532.7698379088365,-0.23221324747589303,10655.36453116767
snp,2,499712,2983.559209496995,1193.2897848131383,1214.2575932702532,4659.874711710932,10,4054.665155324584,-1071.1059458275886,-0.16227158436957417,10655.36453116767
inject,0,0,1445.8852444518127,1030.0083444520571,576.7142085198221,3750.6536617006677,10,1445.8852444518127,0.0,0.0,10655.36453116767
inject,0,32768,3093.3319489067007,1647.7681660047845,544.9750341287225,5350.0607091680495,10,1445.8852444518127,1647.446704454888,0.17888597747891663,10655.36453116767
inject,0,57344,2604.153956946614,2016.3158745629694,428.48916257860566,5801.703967795383,10,1445.8852444518127,1158.2687124948013,0.12576918589086442,10655.36453116767
inject,0,81920,3868.3073022499484,2285.8463157287915,483.3890194159933,8524.732495917791,10,1445.8852444518127,2422.422057798136,0.26303572461792757,10655.36453116767
inject,0,106496,2807.116463034658,1859.1598086221009,397.59521248169614,6671.572174881027,10,1445.8852444518127,1361.2312185828453,0.14780762039375397,10655.36453116767
inject,0,131072,3360.420018121747,1252.1479564737965,1110.3840906384223,4651.872143349098,10,1445.8852444518127,1914.5347736699343,0.20788740751321877,10655.36453116767
inject,0,155648,4176.540091434478,1562.98386349831,2718.772727432134,8216.858595218406,10,1445.8852444518127,2730.6548469826657,0.2965048035479023,10655.36453116767
inject,0,180224,4115.035174701744,1424.478487102213,418.96782470320795,6048.845754458691,10,1445.8852444518127,2669.1499302499315,0.2898263676872806,10655.36453116767
inject,0,204800,3262.51070445243,1026.5229409357064,1451.865561639356,4922.847726245367,10,1445.8852444518127,1816.6254600006175,0.19725604491273885,10655.36453116767
inject,0,229376,3561.948508861608,1434.5231583004481,2063.5186215378894,7218.902324150926,10,1445.8852444518127,2116.063264409795,0.22977013122037462,10655.36453116767
inject,0,253952,3822.563293072109,1749.208917285239,466.08135820757917,6744.959722977926,10,1445.8852444518127,2376.678048620296,0.2580686675511012,10655.36453116767
inject,0,278528,3959.117737896625,1413.2750400998762,748.5184771439381,6307.23333437883,10,1445.8852444518127,2513.2324934448125,0.272896264265137,10655.36453116767
inject,0,303104,4398.1504053716435,1173.1258255057558,2722.1067217882146,6362.297104892785,10,1445.8852444518127,2952.265160919831,0.32056808736816805,10655.36453116767
inject,0,327680,4677.519153319087,970.9160733228647,3121.2859336290635,6372.981326718983,10,1445.8852444518127,3231.633908867275,0.35090299982299944,10655.36453116767
inject,0,352256,4972.269168482153,1665.7866783200755,2518.8483380683965,7285.291283449847,10,1445.8852444518127,3526.3839240303405,0.38290806829155233,10655.36453116767
inject,0,376832,5648.5473908926315,1283.8658241844998,3152.4649640351727,7758.3327480860435,10,1445.8852444518127,4202.662146440819,0.4563409086599039,10655.36453116767
inject,0,401408,5828.9090629501625,2592.588154091352,1229.7012538889903,9453.017488552925,10,1445.8852444518127,4383.02381849835,0.47592525935149055,10655.36453116767
inject,0,425984,6224.845736769009,1185.4314273249772,3571.757159530136,7761.594169829118,10,1445.8852444518127,4778.960492317196,0.5189175569015778,10655.36453116767
inject,0,450560,7884.968191949872,2878.360218739174,1590.0705208443005,10325.18994004462,10,1445.8852444518127,6439.082947498059,0.6991799152083316,10655.36453116767
inject,0,475136,6924.593468544222,1676.673012911662,3725.192518184249,10157.701597741128,10,1445.8852444518127,5478.708224092409,0.5948988051257393,10655.36453116767
inject,0,499712,5865.155897775211,2483.419296503776,468.6713554372643,8844.535264484739,10,1445.8852444518127,4419.270653323399,0.4798610774029407,10655.36453116767
inject,1,0,2520.1128471325305,1912.743123346043,517.1677002673508,6231.225885974204,10,2520.1128471325305,0.0,0.0,10655.36453116767
inject,1,32768,4590.437870994245,1466.9158928578915,2875.2513583659475,7923.60838226955,10,2520.1128471325305,2070.3250238617143,0.2544881343585342,10655.36453116767
inject,1,57344,3328.2350806905924,2438.0892537349814,620.3312581145661,7937.974124073854,10,2520.1128471325305,808.1222335580619,0.0993358613654952,10655.36453116767
inject,1,81920,4522.656581807737,1751.0453333827957,1843.3962329776923,8899.107465850684,10,2520.1128471325305,2002.5437346752065,0.24615633445722415,10655.36453116767
inject,1,106496,3681.0160937102874,1480.8351082213828,976.6240158950974,6710.831461064361,10,2520.1128471325305,1160.9032465777568,0.14270034800684134,10655.36453116767
inject,1,131072,3820.9151116644125,1008.9884920508316,1878.9964075543878,5294.829726414365,10,2520.1128471325305,1300.802264531882,0.15989699088532416,10655.36453116767
inject,1,155648,4046.4793955172036,1579.9430682785312,666.0763467111452,6208.171577636285,10,2520.1128471325305,1526.366548384673,0.18762376475609677,10655.36453116767
inject,1,180224,4313.426796340931,1794.8680301830973,1031.1862563626999,6794.131473314816,10,2520.1128471325305,1793.3139492084006,0.2204374269707249,10655.36453116767
inject,1,204800,4406.089655704219,1369.8559027692136,2558.2611869067964,6532.802083715154,10,2520.1128471325305,1885.9768085716883,0.23182771493609194,10655.36453116767
inject,1,229376,5090.411558402826,2297.0909698911787,1243.773165453215,10058.397912383454,10,2520.1128471325305,2570.2987112702954,0.3159458134526287,10655.36453116767
inject,1,253952,4600.163354272285,1649.6136196122927,1014.659594205755,8142.7254938240785,10,2520.1128471325305,2080.0505071397542,0.2556836085312546,10655.36453116767
inject,1,278528,4243.266618578051,2025.3324191243205,549.6070870000917,7948.826541482453,10,2520.1128471325305,1723.1537714455203,0.21181320973944484,10655.36453116767
inject,1,303104,5775.338637526615,1327.2507781721667,4321.7783611563445,8208.847366779613,10,2520.1128471325305,3255.225790394084,0.40013830136098893,10655.36453116767
inject,1,327680,4902.58555043591,1384.157317353647,3055.4849875563627,7377.7275762337495,10,2520.1128471325305,2382.472703303379,0.29285789740051393,10655.36453116767
inject,1,352256,5211.585014001371,2323.0427941339103,1805.290722920807,10040.416480325628,10,2520.1128471325305,2691.4721668688403,0.33084067599528905,10655.36453116767
inject,1,376832,5735.113937531533,2345.5777632847753,2988.175840141216,9342.625117416696,10,2520.1128471325305,3215.001090399003,0.3951938077482007,10655.36453116767
inject,1,401408,6974.871093742874,2359.24793610592,3502.982911834682,10156.64658750922,10,2520.1128471325305,4454.758246610343,0.5475870223910719,10655.36453116767
inject,1,425984,6684.196711976893,2158.597225172082,3329.8443967745375,10311.568527844896,10,2520.1128471325305,4164.083864844362,0.5118567963304967,10655.36453116767
inject,1,450560,6986.080148397225,1769.8252379059256,3985.1345743712004,10187.30404239778,10,2520.1128471325305,4465.9673012646945,0.5489648598678116,10655.36453116767
inject,1,475136,7298.4174068057255,2501.9784007593803,3255.221032906085,10272.678410055729,10,2520.1128471325305,4778.304559673195,0.5873579263027503,10655.36453116767
inject,1,499712,6207.992106959083,3014.717204029463,561.0208360002757,10250.066062492968,10,2520.1128471325305,3687.8792598265522,0.4533208562693193,10655.36453116767
inject,2,0,2887.2530918487705,1833.5120887081366,452.0379242689504,4973.002441645432,10,2887.2530918487705,0.0,0.0,10655.36453116767
inject,2,32768,3418.818341566935,1253.9218017091753,993.00650971725,4631.168070608068,10,2887.2530918487705,531.5652497181645,0.06842914829454898,10655.36453116767
inject,2,57344,2737.378611904731,1817.7364309821678,652.4550791558594,5138.9741143151105,10,2887.2530918487705,-149.87447994403965,-0.01929355430795505,10655.36453116767
inject,2,81920,3516.131631414478,1525.4284796245106,1213.1594231056372,5777.510919631112,10,2887.2530918487705,628.8785395657073,0.08095642607566535,10655.36453116767
inject,2,106496,3729.7353754422447,873.3720569269408,1805.4441650617516,5257.870800043478,10,2887.2530918487705,842.4822835934742,0.10845393890987849,10655.36453116767
inject,2,131072,4000.147332108664,852.7182285003189,2891.3521831853013,5580.79943708245,10,2887.2530918487705,1112.8942402598936,0.14326445350457107,10655.36453116767
inject,2,155648,3214.083785545544,1310.9523340681,945.9760346697343,5225.359582034411,10,2887.2530918487705,326.8306936967733,0.04207337860788415,10655.36453116767
inject,2,180224,3459.2567306663645,2057.1038426379614,854.2764196968781,7845.711253462951,10,2887.2530918487705,572.003638817594,0.07363483946029897,10655.36453116767
